Tridiagonal-pcrsmall-base, Throughput = 151351.6722 Systems/s, Time = 0.00346 s, Size = 524288 Systems
Tridiagonal-pcrsmall-optimized, Throughput = 164962.1698 Systems/s, Time = 0.00318 s, Size = 524288 Systems
Tridiagonal-cyclicsmall-base, Throughput = 171538.8373 Systems/s, Time = 0.00306 s, Size = 524288 Systems
Tridiagonal-cyclicsmall-optimized, Throughput = 171095.4628 Systems/s, Time = 0.00306 s, Size = 524288 Systems
Tridiagonal-sweepsmall-noreorder, Throughput = 45152.0896 Systems/s, Time = 0.01161 s, Size = 524288 Systems
Tridiagonal-sweepsmall-reorder, Throughput = 43687.3839 Systems/s, Time = 0.01200 s, Size = 524288 Systems
Tridiagonal-pcrsmall-base, Throughput = 149904.8537 Systems/s, Time = 0.00350 s, Size = 524288 Systems
Tridiagonal-pcrsmall-optimized, Throughput = 164780.3368 Systems/s, Time = 0.00318 s, Size = 524288 Systems
Tridiagonal-cyclicsmall-base, Throughput = 174886.8103 Systems/s, Time = 0.00300 s, Size = 524288 Systems
Tridiagonal-cyclicsmall-optimized, Throughput = 169927.2354 Systems/s, Time = 0.00309 s, Size = 524288 Systems
Tridiagonal-sweepsmall-noreorder, Throughput = 45103.9226 Systems/s, Time = 0.01162 s, Size = 524288 Systems
Tridiagonal-sweepsmall-reorder, Throughput = 43632.8076 Systems/s, Time = 0.01202 s, Size = 524288 Systems
Tridiagonal-pcrsmall-base, Throughput = 155483.2732 Systems/s, Time = 0.00337 s, Size = 524288 Systems
Tridiagonal-pcrsmall-optimized, Throughput = 159778.1335 Systems/s, Time = 0.00328 s, Size = 524288 Systems
Tridiagonal-cyclicsmall-base, Throughput = 168940.9501 Systems/s, Time = 0.00310 s, Size = 524288 Systems
Tridiagonal-cyclicsmall-optimized, Throughput = 167142.0872 Systems/s, Time = 0.00314 s, Size = 524288 Systems
Tridiagonal-sweepsmall-noreorder, Throughput = 45157.9218 Systems/s, Time = 0.01161 s, Size = 524288 Systems
Tridiagonal-sweepsmall-reorder, Throughput = 41718.7578 Systems/s, Time = 0.01257 s, Size = 524288 Systems
Tridiagonal-pcrsmall-base, Throughput = 156131.0618 Systems/s, Time = 0.00336 s, Size = 524288 Systems
Tridiagonal-pcrsmall-optimized, Throughput = 172370.7473 Systems/s, Time = 0.00304 s, Size = 524288 Systems
Tridiagonal-cyclicsmall-base, Throughput = 180317.7179 Systems/s, Time = 0.00291 s, Size = 524288 Systems
Tridiagonal-cyclicsmall-optimized, Throughput = 180303.3767 Systems/s, Time = 0.00291 s, Size = 524288 Systems
Tridiagonal-sweepsmall-noreorder, Throughput = 46787.4501 Systems/s, Time = 0.01121 s, Size = 524288 Systems
Tridiagonal-sweepsmall-reorder, Throughput = 44746.2707 Systems/s, Time = 0.01172 s, Size = 524288 Systems
Tridiagonal-pcrsmall-base, Throughput = 155947.5936 Systems/s, Time = 0.00336 s, Size = 524288 Systems
Tridiagonal-pcrsmall-optimized, Throughput = 172240.5966 Systems/s, Time = 0.00304 s, Size = 524288 Systems
Tridiagonal-cyclicsmall-base, Throughput = 171141.2687 Systems/s, Time = 0.00306 s, Size = 524288 Systems
Tridiagonal-cyclicsmall-optimized, Throughput = 177147.1519 Systems/s, Time = 0.00296 s, Size = 524288 Systems
